v2.2
30/03/2021
06:08:26
18:23:18
55.7
59
Ezequiel Cardoso Benitez
Obs. Meteorol&oacute;gico
30/06/1987
0
3,7,12,4,4,23.0,-999.0,91,1,485,81,211,-999.00,2,  0.27,
3,8,12,0,5,25.4,-999.0,79,2,0,226,226,-999.00,2,  0.49,
3,9,12,0,4,27.0,-999.0,67,2,0,191,191,-999.00,3,  0.68,
3,10,12,0,6,29.6,-999.0,51,2,0,265,265,0.25,6,  0.83,
