-999,21.8,149.2,258.5,402.1,457.9,549.6,444.1,390.6,286.4,100.7,28.0,-999,
-999,48.9,190.0,337.1,471.8,495.8,563.8,534.8,364.8,314.8,193.1,55.1,-999,
-999,120.4,282.1,436.5,587.6,592.4,583.5,531.8,559.3,452.6,311.7,134.6,20.2,
41.6,183.2,329.0,480.2,555.2,602.4,573.0,514.8,482.8,377.4,284.6,128.0,26.0,
72.2,208.2,327.6,467.8,599.0,613.3,537.5,555.7,427.6,375.3,247.0,119.0,31.7,
78.5,212.7,329.9,451.2,560.5,574.5,508.3,432.2,408.9,337.2,219.5,131.2,36.4,
59.8,224.6,362.6,520.0,629.0,660.8,605.4,579.6,460.6,320.5,232.5,155.2,45.8,
43.2,185.3,334.8,478.3,635.9,620.1,677.4,589.6,517.9,361.4,231.4,103.4,28.3,
29.9,170.2,351.5,469.0,556.0,601.9,623.7,485.8,496.0,291.2,189.9,79.0,-999,
-999,129.0,278.2,417.8,532.5,488.8,558.4,434.5,316.4,208.8,125.1,31.2,-999,
-999,70.4,202.9,308.4,425.2,490.5,520.7,409.4,333.2,209.4,67.0,22.2,-999,
-999,37.5,184.3,315.7,415.7,520.2,498.7,478.7,334.1,237.1,78.0,28.4,-999,
