-999,461.2,698.0,856.5,864.1,913.8,902.1,900.3,847.8,807.5,735.8,-999,-999,
-999,439.9,672.4,808.7,839.1,875.4,875.6,878.3,842.2,795.0,720.0,450.7,-999,
-999,537.1,753.4,829.0,900.5,881.8,900.9,903.3,863.4,803.0,737.5,598.8,-999,
289.1,574.8,711.6,776.4,836.1,838.6,858.8,834.2,762.7,744.0,635.0,502.5,-999,
404.8,631.7,736.8,786.7,822.3,849.0,845.2,836.4,838.7,776.2,711.1,575.1,328.5,
403.8,563.4,686.7,723.5,780.1,799.8,793.1,790.2,753.9,699.4,680.1,511.2,-999.0,
352.3,550.3,681.1,735.9,772.3,813.2,804.4,800.4,803.6,745.3,696.8,513.8,379.7,
329.0,575.0,694.4,770.7,819.7,830.0,847.4,819.3,788.8,765.2,656.5,555.6,-999,
308.9,560.3,720.4,799.4,816.4,858.9,832.3,825.9,821.0,724.4,638.0,440.8,-999,
-999,557.8,710.5,800.2,832.7,824.9,869.6,883.9,796.2,702.9,699.3,-999,-999,
-999,571.5,770.0,830.0,870.0,886.0,869.9,868.0,845.7,780.2,806.0,-999,-999,
-999,411.1,715.6,807.4,883.7,894.5,882.4,870.3,855.7,776.2,433.0,-999,-999,
