-999,29.7,167.0,315.8,417.9,483.5,487.9,502.6,350.6,275.4,176.3,44.8,-999,
-999,47.1,198.1,381.6,476.8,534.1,530.1,529.2,443.6,375.9,228.5,82.0,-999,
-999,119.9,313.0,456.2,590.7,607.6,603.0,546.9,502.0,409.2,293.6,131.6,12.5,
21.8,202.1,393.9,516.2,594.4,618.9,641.8,559.5,498.5,396.6,269.1,138.7,18.1,
58.2,225.7,382.2,485.2,579.3,607.5,615.8,488.3,441.8,374.3,266.7,130.0,31.1,
55.1,183.5,324.2,443.9,486.2,528.2,545.5,533.7,414.9,294.6,213.9,116.1,36.4,
41.0,188.9,354.9,476.6,576.7,578.4,608.1,575.5,472.4,347.7,210.6,135.5,43.6,
23.8,166.3,348.9,475.1,610.3,556.7,636.9,532.0,455.2,308.4,207.6,97.7,20.0,
18.2,133.3,314.9,461.8,553.1,536.2,549.2,455.5,359.0,265.9,149.4,65.9,12.5,
-999,115.6,265.3,387.6,503.6,535.1,492.8,407.1,308.7,258.3,133.9,38.3,-999,
-999,93.1,267.5,392.1,448.0,432.1,455.5,415.5,335.2,252.6,125.5,19.9,-999,
-999,46.6,194.5,328.0,396.4,455.5,446.0,398.9,345.8,246.8,131.9,20.7,-999,
