-999,295.6,578.8,729,801.7,851.9,863.7,843.6,819.7,729,592.3,382.1,-999,
-999,359.4,609.6,751.9,837,880.9,895.3,876.6,849.8,776.7,645.1,425.6,240,
227,459.8,648.3,765.3,833.1,857.7,874,870.5,821.6,756.3,659.4,496.5,264.6,
252.7,509.5,658.4,743.8,797.8,837.3,853,839.4,798.6,736.8,643,494.4,318.5,
366.8,558.1,674,754.5,800.9,824.2,829.7,840.3,796.3,731,640.5,505.1,423.2,
332.7,522.6,649.7,716,768.7,794.1,798.1,807.1,743.2,711.5,617.6,520.9,308.4,
282.9,473.1,603.2,696.8,744.3,773.9,777.3,781.1,728.4,681.3,590.6,460.2,256.6,
236.3,459,598.5,681.6,730.8,769.5,780.3,772.5,736.9,684.6,584.4,452.4,313.9,
263.9,510.1,652.5,740.1,784.9,814.9,817.8,810.3,773.7,671.4,571.6,414.6,193.5,
305.7,501.7,657.8,738.6,804,834.6,841.5,834.1,775.8,691.5,570.9,348.9,-999,
231,440,645.1,751.8,821.7,837,845.5,826.7,760.9,681.5,519.2,283.1,-999,
-999,350.3,599.9,724.5,796,815.9,837.2,816.5,766.9,676.1,514.2,314.7,-999,
