-999,200.4,539.9,644.8,741.0,788.2,812.3,792.5,755.2,685.9,555.2,320.8,-999,
-999,284.1,562.8,676.0,761.1,819.2,809.7,783.9,748.2,696.9,582.0,381.9,-999,
-999,425.5,622.5,730.0,797.0,827.3,822.7,808.9,771.7,710.1,606.4,443.6,297.5,
151.2,502.7,625.3,716.1,761.3,806.5,789.9,785.2,746.6,688.0,616.1,454.3,160.0,
286.3,519.6,618.2,697.4,719.9,738.8,743.2,742.8,704.8,672.4,600.3,462.1,222.6,
270.3,468.9,577.6,656.6,693.2,710.2,705.1,702.0,667.3,633.1,586.1,430.3,259.8,
223.1,442.4,568.3,643.4,692.0,708.2,723.4,709.8,671.8,614.6,533.8,441.8,285.3,
235.3,438.0,570.3,660.7,707.0,731.8,733.0,720.7,708.5,628.9,546.4,423.5,196.0,
122.0,457.8,590.5,692.4,735.7,748.9,760.2,755.2,713.3,670.0,580.0,421.8,-999,
-999,458.0,595.7,698.8,753.5,780.3,773.0,772.4,735.6,668.4,514.7,267.6,-999,
-999,406.4,597.3,719.3,771.3,799.9,788.8,788.8,743.3,644.0,512.3,196.0,-999,
-999,284.7,553.3,676.0,737.9,762.9,789.9,795.3,759.2,658.3,539.6,225.0,-999,
