-999,30.2,99.8,159.9,198.9,222.0,232.0,229.5,202.0,159.6,108.6,48.0,-999,
-999,43.5,122.1,182.4,228.8,255.7,262.0,241.3,215.1,183.1,126.2,64.3,-999,
-999,82.2,152.4,207.3,240.5,269.4,276.3,264.6,231.0,187.4,139.1,84.2,17.6,
27.3,103.2,175.8,230.6,259.7,285.6,272.2,256.0,231.8,199.8,144.2,92.2,24.0,
42.2,100.9,159.7,208.2,241.7,256.7,263.5,254.3,222.7,177.7,142.5,92.7,31.8,
47.7,117.7,186.0,244.7,278.7,302.7,283.3,270.0,237.0,214.9,167.7,113.5,47.3,
49.4,117.0,181.2,243.6,269.4,297.6,304.9,279.9,246.6,209.3,180.2,132.2,56.0,
34.2,97.3,146.8,200.7,230.0,251.5,257.3,263.8,221.7,189.7,154.2,102.9,36.9,
17.3,72.7,127.8,180.0,219.0,235.4,244.8,233.6,207.9,175.8,121.2,63.1,-999,
-999,63.4,106.7,162.3,200.6,215.6,222.6,198.9,175.6,139.9,96.1,40.3,-999,
-999,62.8,119.3,166.1,192.0,213.4,219.9,188.7,156.7,123.1,81.8,24.4,-999,
-999,42.1,106.9,171.0,204.2,225.3,235.4,217.3,189.5,142.7,92.3,25.1,-999,
