-999,19.5,74.0,128.6,185.8,213.0,207.9,199.2,178.2,133.6,90.9,28.0,-999,
-999,30.8,91.8,119.1,153.3,172.2,192.2,175.8,157.9,145.9,98.7,48.4,-999,
-999,67.4,121.9,163.2,201.1,229.7,240.6,247.6,208.6,163.8,123.2,71.3,20.2,
34.6,98.7,154.5,195.1,223.0,251.2,250.1,252.8,234.1,192.9,149.3,86.0,26.0,
49.0,109.2,170.6,222.6,254.4,279.0,264.8,260.9,241.0,208.5,149.4,89.6,31.0,
61.1,136.9,194.7,243.8,279.0,294.6,312.5,292.5,267.8,205.7,159.0,105.0,36.4,
42.5,119.1,174.4,210.6,243.5,263.3,277.6,260.8,223.2,185.4,150.9,119.1,43.7,
33.3,79.6,149.3,177.5,216.3,252.8,248.2,235.7,220.2,169.6,132.9,75.4,28.3,
26.9,79.2,151.6,184.6,216.7,229.7,266.9,230.9,196.8,195.3,136.7,70.8,-999,
-999,61.7,105.8,162.1,187.1,234.4,239.0,224.7,180.4,132.6,96.1,31.2,-999,
-999,36.9,107.4,153.3,177.6,197.4,201.1,199.9,157.3,119.4,60.5,22.2,-999,
-999,29.9,70.8,138.1,150.6,163.6,177.0,171.3,154.4,132.2,76.8,28.4,-999,
