-999,220.8,522.6,670.8,750.1,778.5,790.6,779.6,735.3,682.8,570.8,290.9,-999,
-999,266.3,567.0,700.4,780.9,824.7,834.4,821.3,813.2,748.6,678.2,440.2,-999,
-999,451.8,649.9,785.6,849.9,866.0,884.7,893.7,882.1,823.0,726.9,539.0,85.3,
201.9,487.0,638.3,728.2,749.1,766.5,773.0,779.5,754.0,713.4,634.3,481.5,129.9,
254.2,478.6,584.0,653.1,695.9,712.8,680.3,685.6,643.0,571.1,534.0,422.5,196.5,
256.3,445.6,587.9,646.4,652.3,700.7,696.3,695.7,648.4,629.5,541.8,448.0,205.1,
229.9,455.9,604.9,680.9,711.8,751.5,755.0,746.9,720.7,651.7,567.8,439.7,254.9,
202.4,464.0,603.1,718.4,757.2,779.0,773.1,760.8,740.5,676.0,580.8,448.8,220.0,
104.3,473.3,608.6,714.6,772.7,771.1,780.8,737.9,715.0,658.5,587.0,391.2,-999,
-999,475.4,632.5,727.8,759.1,794.5,799.2,785.3,764.2,706.7,558.4,289.4,-999,
-999,427.7,655.9,761.1,810.4,833.3,848.2,836.4,797.9,723.4,558.2,224.7,-999,
-999,280.3,591.7,725.8,788.0,825.7,824.9,821.0,788.0,705.8,551.2,204.2,-999,
