-999,35.5,194.2,344.7,429.8,508,527.5,514.9,452.7,329.1,225.6,69.3,-999,
-999,59,245.9,378.3,478.9,538,534.7,626.2,538.4,454.7,284.3,122.3,-999,
-999,141,337.4,464.6,623,719.5,740.9,707.6,630.8,534.2,377.9,183.7,17.7,
30.8,204.3,367.1,491.9,585.8,732.1,753.9,671.6,594,487.2,344,173.1,25.3,
56.5,214.5,337.3,471.1,522.4,650.3,516,535.7,491.1,377.4,289.9,162,37,
58.9,186.5,311.9,445.2,511.3,584.2,576.3,584.8,496.4,406.7,299.5,180.4,55.3,
57.3,219,365.4,474.3,559.4,612.9,595.7,626.8,586.3,445.7,328.2,206.7,62.6,
37.2,186,343.8,451,557.6,700,648.2,627.7,564,463.7,330.4,168.1,38.5,
17.4,149.9,330.5,462.9,527.1,618.8,631.7,546.1,443.1,346.2,212.8,87.2,-999,
-999,140.8,304.4,390.8,475.7,527.2,556.2,523.5,412.3,334.3,196.1,55.9,-999,
-999,108.5,276.5,396.9,460.7,581.5,550,532.5,452.5,334.8,174.4,25.8,-999,
-999,56.8,226.6,364.4,431.3,475.7,495.4,494.6,429.2,306.1,186.9,27.2,-999,
